time,Np,dp,dm ,dg,np
0.00066061,1.08476E+18,2.00E-09,2.97726E-09,2.41E-09,2.420858662
0.00066364,1.08111E+18,2.00E-09,2.98178E-09,2.41E-09,2.429038457
0.00066667,1.07747E+18,2.00E-09,2.9863E-09,2.42E-09,2.437236674
0.0006697,1.07385E+18,2.00E-09,2.99083E-09,2.42E-09,2.44545333
0.00067273,1.07025E+18,2.00E-09,2.99536E-09,2.43E-09,2.453688446
0.00067576,1.06666E+18,2.00E-09,2.99989E-09,2.43E-09,2.461942039
0.00067879,1.06309E+18,2.00E-09,3.00442E-09,2.44E-09,2.470214129
0.00068182,1.05953E+18,2.00E-09,3.00895E-09,2.44E-09,2.478504734
0.00068485,1.05599E+18,2.00E-09,3.01349E-09,2.45E-09,2.486813873
0.00068788,1.05247E+18,2.00E-09,3.01802E-09,2.45E-09,2.495141564
0.00069091,1.04896E+18,2.00E-09,3.02256E-09,2.45E-09,2.503487827
0.00069394,1.04547E+18,2.00E-09,3.0271E-09,2.46E-09,2.51185268
0.00069697,1.04199E+18,2.00E-09,3.03165E-09,2.46E-09,2.520236142
0.0007,1.03853E+18,2.00E-09,3.03619E-09,2.47E-09,2.528638231
0.00070303,1.03508E+18,2.00E-09,3.04074E-09,2.47E-09,2.537058966
0.00070606,1.03165E+18,2.00E-09,3.04528E-09,2.48E-09,2.545498366
0.00070909,1.02823E+18,2.00E-09,3.04983E-09,2.48E-09,2.553956449
0.00071212,1.02483E+18,2.00E-09,3.05438E-09,2.49E-09,2.562433233
0.00071515,1.02144E+18,2.00E-09,3.05894E-09,2.49E-09,2.570928739
0.00071818,1.01807E+18,2.00E-09,3.06349E-09,2.50E-09,2.579442983
0.00072121,1.01471E+18,2.00E-09,3.06805E-09,2.50E-09,2.587975985
0.00072424,1.01137E+18,2.00E-09,3.07261E-09,2.51E-09,2.596527763
0.00072727,1.00805E+18,2.00E-09,3.07717E-09,2.51E-09,2.605098336
0.0007303,1.00473E+18,2.00E-09,3.08173E-09,2.52E-09,2.613687722
0.00073333,1.00143E+18,2.00E-09,3.08629E-09,2.52E-09,2.62229594
0.00073636,9.9815E+17,2.00E-09,3.09086E-09,2.53E-09,2.630923008
0.00073939,9.94881E+17,2.00E-09,3.09542E-09,2.53E-09,2.639568945
0.00074242,9.91626E+17,2.00E-09,3.09999E-09,2.54E-09,2.64823377
0.00074545,9.88385E+17,2.00E-09,3.10456E-09,2.54E-09,2.6569175
0.00074848,9.85158E+17,2.00E-09,3.10913E-09,2.55E-09,2.665620154
0.00075152,9.81945E+17,2.00E-09,3.11371E-09,2.55E-09,2.674341751
0.00075455,9.78746E+17,2.00E-09,3.11828E-09,2.56E-09,2.683082308
0.00075758,9.75561E+17,2.00E-09,3.12286E-09,2.56E-09,2.691841846
0.00076061,9.7239E+17,2.00E-09,3.12744E-09,2.57E-09,2.700620381
