t[s],lambda[m],N_agg[mol/kg],N_agg[#/m3],N_pri[mol/kg],N_pri[#/m3],n_p,d_p[nm],d_m[nm],d_g[nm]
6.33315105854828e-05,5.422382240920303e-07,2.982168984057361e-05,2.2089620912282537e+18,3.5452598546844106e-05,2.62605662670946e+18,1.1888192364810064,1.9999369869583437,2.161814537868269,1.675825223153697
6.4947791321813e-05,5.409144985178321e-07,2.9697071563339643e-05,2.1997313249049623e+18,3.5452598546844106e-05,2.62605662670946e+18,1.1938078968907335,1.9999369869583437,2.1658920821856418,1.6789861102214276
6.681544077144738e-05,5.393552954919962e-07,2.9554106852762504e-05,2.1891415954920215e+18,3.5452598546844106e-05,2.62605662670946e+18,1.1995828100462544,1.9999369869583437,2.1706005939552595,1.6826361193451624
6.901868528123545e-05,5.37482481232535e-07,2.9386863842002907e-05,2.1767535157833997e+18,3.5452598546844106e-05,2.62605662670946e+18,1.2064097325067873,1.9999369869583437,2.1761507978577495,1.6869386029905036
7.122192979102353e-05,5.355829578225997e-07,2.9221129958102937e-05,2.16447722061957e+18,3.5452598546844106e-05,2.62605662670946e+18,1.2132521431469558,1.9999369869583437,2.181696287220398,1.691237431953797
7.34251743008116e-05,5.336674060217613e-07,2.9056886539892073e-05,2.152311327724127e+18,3.5452598546844106e-05,2.62605662670946e+18,1.220110024457417,1.9999369869583437,2.187237081998975,1.6955326217046316
7.562841881059967e-05,5.317471158089864e-07,2.8894115218902874e-05,2.1402544765018632e+18,3.5452598546844106e-05,2.62605662670946e+18,1.2269833590076706,1.9999369869583437,2.1927732019976607,1.6998241875950855
7.724234960698879e-05,5.303442488794021e-07,2.8775804892705012e-05,2.131490954817845e+18,3.5452598546844106e-05,2.62605662670946e+18,1.2320280415798808,1.9999369869583437,2.1968255910125967,1.7029655744283694
7.735765892492071e-05,5.302442894515042e-07,2.876738173947463e-05,2.1308670322207693e+18,3.5452598546844106e-05,2.62605662670946e+18,1.2323887821252781,1.9999369869583437,2.1971150236432297,1.7031899408087052
7.7713182410013e-05,5.299363863604935e-07,2.8741436159146006e-05,2.1289451825976512e+18,3.5452598546844106e-05,2.62605662670946e+18,1.2335012888895776,1.9999369869583437,2.198007326852567,1.70388164872292
7.879872919815378e-05,5.289994530052399e-07,2.866244580740723e-05,2.1230941830903616e+18,3.5452598546844106e-05,2.62605662670946e+18,1.2369006743200575,1.9999369869583437,2.200731117072809,1.7059931140099294
8.078128278740017e-05,5.273048423722157e-07,2.8519077799832687e-05,2.1124745805285975e+18,3.5452598546844106e-05,2.62605662670946e+18,1.2431186869251465,1.9999369869583437,2.205702726702027,1.7098470749628116
8.323101243507724e-05,5.252521690821666e-07,2.834350474456658e-05,2.0994694750031457e+18,3.5452598546844106e-05,2.62605662670946e+18,1.2508191512074853,1.9999369869583437,2.21184071038211,1.714605201846597
8.504095914889503e-05,5.23774395133372e-07,2.821489329215446e-05,2.0899429248849277e+18,3.5452598546844106e-05,2.62605662670946e+18,1.2565207381699433,1.9999369869583437,2.2163720240914744,1.718117848132926
8.608047791356689e-05,5.229436709427687e-07,2.8141448611806147e-05,2.0845027061864195e+18,3.5452598546844106e-05,2.62605662670946e+18,1.2598000563471605,1.9999369869583437,2.2189731278775753,1.720134207657035
8.64404075566429e-05,5.226594169518539e-07,2.8116089924565793e-05,2.0826243291026015e+18,3.5452598546844106e-05,2.62605662670946e+18,1.2609363052245826,1.9999369869583437,2.219873513847469,1.7208321812771075
8.750978058980093e-05,5.218258761068244e-07,2.8040962996113535e-05,2.0770595023651287e+18,3.5452598546844106e-05,2.62605662670946e+18,1.2643145869048014,1.9999369869583437,2.2225478980547413,1.7229053473292568
8.94111154112564e-05,5.203880908522161e-07,2.7908178783334126e-05,2.0672238661583488e+18,3.5452598546844106e-05,2.62605662670946e+18,1.270330064246803,1.9999369869583437,2.227300280378799,1.726589364634728
9.210858324485963e-05,5.18458526992126e-07,2.772151348577129e-05,2.0533971323861012e+18,3.5452598546844106e-05,2.62605662670946e+18,1.2788839456778207,1.9999369869583437,2.2340368031383044,1.7318114753010112
9.533058205904298e-05,5.163491215294194e-07,2.750115566792402e-05,2.037074715087396e+18,3.5452598546844106e-05,2.62605662670946e+18,1.2891312268812853,1.9999369869583437,2.2420744012739546,1.7380421715301975
9.576934420694082e-05,5.160799229980761e-07,2.7471364868575625e-05,2.0348680411269402e+18,3.5452598546844106e-05,2.62605662670946e+18,1.2905292007314197,1.9999369869583437,2.24316819390142,1.7388900727917984
9.667362018617782e-05,5.155395258751351e-07,2.741012952542776e-05,2.030332196499083e+18,3.5452598546844106e-05,2.62605662670946e+18,1.2934122954054459,1.9999369869583437,2.245421908056155,1.7406371380280272
